人物,立绘,文本,CG,SE
,,最后一束光随着合上的房门湮灭,Black,
,,黑暗几乎是在瞬间便将爱丽完全淹没,Black,
,,这突如其来的事显然吓到了尚还不清楚发生了什么的爱丽,Black,
,,空洞、迷茫、恐惧，就如同深藏在记忆之中的猛兽挣脱了枷锁,Black,
,,被漆黑环伺着的女孩，眼泪已然在眼眶中打转,Black,
爱丽,eli_default,为什么要这样对我……,Black,
爱丽,eli_default,我明明没有做错什么啊……,Black,
？？？,,好了，别哭了,Black,
？？？,,我帮你把灯打开吧,Black,
,,黑暗中，传来了熟悉温柔的声音,Black,
？？？,,到姐姐这里来,,
爱丽,eli_default,你是……,,
？？？,white_default,小爱丽连我也不记得了吗？,,
？？？,white_default,…………,,
？？？,white_default,没关系，过去的记忆便都让它过去吧,,
？？？,white_default,我们还可以重新开始，回到以前的生活,,
？？？,white_default,我叫白,,
爱丽,eli_default,白……,,
,,一部分记忆随着口中念出的名字而变得愈发清晰,,
,,眼前温婉的少女唤起了爱丽脑海中熟悉的片段,,
白,white_default,叫我姐姐也好,,
白,white_default,虽然对于现在的你来说或许还有些突兀，但以前你总是这样叫我……,,
白,white_default,但没关系，我一直都在,,
白,white_default,我会一直陪着你的,,
